source,campaign,plan,leave_reason,cnt,avg_days_to_churn,avg_months_since_signup
unknown,unknown,oneMonth,好みのパンに出会えない,3,238.0,43.7
unknown,unknown,oneMonth,満足した,3,68.0,45.0
unknown,unknown,twoMonths,クーポンを使えなかったので,3,12.0,26.0
unknown,unknown,twoMonths,ポイントサイトと併用不可のため,3,11.0,26.0
unknown,unknown,twoMonths,ポイントサイトとクーポンが併用できなかったため,3,2.0,26.0
unknown,unknown,twoMonths,コスパが悪いため,3,394.0,39.7
unknown,unknown,twoMonths,引っ越しの為,3,270.0,39.0
unknown,unknown,twoMonths,クーポン併用不可だったため,3,2.0,26.0
unknown,unknown,twoMonths,魅力的なパンがない,3,251.0,47.0
unknown,unknown,twoMonths,クーポン使えなかった為,3,2.0,26.0
unknown,unknown,twoMonths,クーポン併用できないため,3,11.0,26.0
unknown,unknown,twoMonths,クーポン無効のため,3,2.0,26.0
unknown,unknown,twoMonths,食べきれないから,3,159.0,43.3
unknown,unknown,oneMonth,必要なくなった,3,173.0,48.3
unknown,unknown,twoMonths,不要なため,3,40.0,42.3
unknown,unknown,oneMonth,費用が高い,3,14.0,44.0
unknown,unknown,twoMonths,またお願いします,2,21.0,33.0
unknown,unknown,twoMonths,信用できないため,2,62.0,26.0
unknown,unknown,twoMonths,ポイントサイト経由だったため,2,2.0,26.0
unknown,unknown,twoMonths,クーポン併用不可だったので,2,3.0,26.0
unknown,unknown,twoMonths,海外転勤のため,2,499.0,40.0
unknown,unknown,oneMonth,ダイエット,2,201.0,37.5
unknown,unknown,twoMonths,利用しなくなったから。,2,177.0,39.0
unknown,unknown,twoMonths,余りパンを食べなくなったので,2,84.0,41.0
unknown,unknown,twoMonths,クーポンとポイントサイトが併用できなかったため,2,3.0,26.0
unknown,unknown,twoMonths,キャンセル,2,2.0,26.0
unknown,unknown,twoMonths,ポイントサイトとクーポンの併用ができなかったため,2,2.0,26.0
unknown,unknown,oneMonth,自己都合,2,292.0,47.0
unknown,unknown,twoMonths,好みのパンがなかった。,2,40.0,54.5
unknown,unknown,twoMonths,お試ししたかったので,2,20.0,38.5
unknown,unknown,oneMonth,冷凍庫に入らなくなったから,2,237.0,39.5
unknown,unknown,twoMonths,満足しました,2,34.0,38.5
unknown,unknown,oneMonth,引越しの為,2,117.0,45.5
unknown,unknown,twoMonths,特に理由はありません。,2,131.0,50.0
unknown,unknown,oneMonth,美味しかった,2,17.0,40.5
unknown,unknown,twoMonths,合わなかった,2,24.0,40.5
unknown,unknown,oneMonth,もういらない,2,383.0,45.5
unknown,unknown,oneMonth,あまり食べなくなった,2,223.0,37.0
unknown,unknown,oneMonth,十分楽しんだので。,2,347.0,49.0
unknown,unknown,twoMonths,パンを食べる機会が減ったため,2,597.0,44.5
unknown,unknown,twoMonths,購入予定がないため,2,74.0,36.0
unknown,unknown,twoMonths,パンを食べる人が居なくなったので。,2,291.0,34.5
unknown,unknown,oneMonth,好みのパンがないため,2,177.0,65.5
unknown,unknown,twoMonths,高いと感じたから,2,107.0,26.0
unknown,unknown,twoMonths,冷凍庫がいっぱいなので,2,77.0,33.5
unknown,unknown,twoMonths,あまり食べなかった,2,282.0,40.5
unknown,unknown,oneMonth,少し高いかな,2,79.0,34.0
unknown,unknown,twoMonths,値段が高いと感じました。,2,12.0,41.0
unknown,unknown,oneMonth,他のサービスを利用するため,2,32.0,30.5
unknown,unknown,twoMonths,割高なため,2,338.0,41.5
unknown,unknown,oneMonth,料金が高いので続けられない,2,21.0,39.0
unknown,unknown,twoMonths,送料が高いため,2,170.0,33.5
unknown,unknown,twoMonths,クーポン併用ができなかったため。,2,2.0,26.0
unknown,unknown,oneMonth,価格が高い為,2,53.0,53.5
unknown,unknown,oneMonth,好みのパンが少なかった。,2,34.0,46.0
unknown,unknown,oneMonth,好みのパンではなかったので。,2,12.0,31.0
unknown,unknown,twoMonths,お試しのため,2,17.0,40.0
unknown,unknown,twoMonths,パンを食べる機会が減ったから,2,247.0,42.0
unknown,unknown,oneMonth,関電計測テストのため,2,0.0,26.0
unknown,unknown,twoMonths,クーポン併用不可,2,16.0,26.0
unknown,unknown,twoMonths,ちょっと高い,2,104.0,36.0
unknown,unknown,oneMonth,不要なため,2,206.0,54.5
unknown,unknown,oneMonth,あまりパンを食べなくなったため,2,783.0,51.5
unknown,unknown,twoMonths,割高に感じたので,2,74.0,33.0
unknown,unknown,twoMonths,飽きたので,2,333.0,38.5
unknown,unknown,oneMonth,パンを食べなくなったから。,2,254.0,70.5
unknown,unknown,oneMonth,料金が高いので。,2,24.0,36.0
unknown,unknown,oneMonth,引っ越しするため,2,225.0,58.0
unknown,unknown,twoMonths,飽きた,2,652.0,51.0
